gu,adm_dong_nm,cluster,risk_type,gentrification_risk,xgb_pred_risk,xgb_risk_proba,risk_score,risk_score_display,risk_range,risk_grade,main_reason_1,main_reason_2,main_reason_3,main_reason_1_value,main_reason_2_value,main_reason_3_value,main_reason_1_shap,main_reason_2_shap,main_reason_3_shap,land_price_growth_final,transaction_growth_final,mkt_vital_balance,franchise_ratio_recent4_mean,franchise_ratio_change,bus_total_growth,new_corp_growth,external_inflow_log_recent,close_rate_recent_final,open_rate_recent_final
수정구,복정동,3,활력 정체형,0,0,0.175,17.5,17.50,0~30점,관찰,최근 프랜차이즈 비율,최근 외부유입 규모,최근 폐업률,6.1509,14.0202,1.1613,0.3334,0.2967,0.0456,0.0672877662316843,2.3846153846153846,-0.0024808765763903,6.150947973107171,-0.1208954705427265,0.2090633762639443,0.217391304347826,14.02015113007372,1.1612875878986917,1.1799880884585658
분당구,구미동,0,종합 성장형,0,0,0.1536,15.36,15.36,0~30점,관찰,최근 프랜차이즈 비율,부동산 거래량 증가율,최근 외부유입 규모,7.58,-0.3165,14.7626,0.3822,0.2835,0.2545,0.057305893883778,-0.316546762589928,-0.0016707507239919,7.579956146961519,0.0805010620852444,1.1607031906525378,0.3461538461538461,14.76264891943751,0.9708297141401512,1.1302319578419653
분당구,수내3동,0,종합 성장형,0,0,0.1368,13.68,13.68,0~30점,관찰,최근 프랜차이즈 비율,상권 활력 균형,해당 없음,7.0373,0.0023,,0.3595,0.0013,,0.0619897792943468,-0.0404040404040403,0.0022509848058525,7.037317139438093,-0.1325776907971345,0.9119645508602384,0.0,12.912456502227936,0.8484356114043218,1.2279792399453475
중원구,도촌동,3,활력 정체형,0,0,0.1289,12.89,12.89,0~30점,관찰,부동산 거래량 증가율,최근 외부유입 규모,버스 승하차 증가율,-0.3671,13.8142,0.0842,0.3222,0.1154,0.0435,0.043516054728407,-0.3670886075949367,-0.0003844675124951,5.692975591485292,-0.3638680198394386,0.0841525783692526,-0.1071428571428571,13.814172946260484,0.8124253234640995,1.0306481675732213
분당구,삼평동,0,종합 성장형,0,0,0.1281,12.81,12.81,0~30점,관찰,최근 프랜차이즈 비율,최근 외부유입 규모,공시지가 상승률,8.3802,15.427,0.0769,0.3834,0.2393,0.1346,0.0769401080756529,-0.1184210526315789,0.0003925673907354,8.380154464733135,-0.3709065399597104,1.4104975212933122,-0.3244444444444444,15.427026823126305,0.9776288335680696,1.1531330417238286
분당구,수내1동,2,인구-과밀 불안정형,1,0,0.1154,11.54,11.54,0~30점,관찰,최근 프랜차이즈 비율,최근 외부유입 규모,버스 승하차 증가율,11.3019,14.0579,0.313,0.4042,0.1919,0.1761,0.0619897792943468,-0.0404040404040403,-0.0020989747315734,11.301891307731886,-0.844178905294946,0.3129773284680505,-0.3287671232876712,14.0579145896396,0.9089692855936254,1.083658701288584
수정구,양지동,3,활력 정체형,0,0,0.1048,10.48,10.48,0~30점,관찰,부동산 거래량 증가율,최근 프랜차이즈 비율,버스 승하차 증가율,-0.5,6.3346,0.1298,0.3255,0.3169,0.0435,0.0511648283605746,-0.5,-0.0009474182851729,6.334613410481186,-1.090087076573144,0.1297758378963092,-0.6,12.484097448807011,1.0707314036156392,0.9060937341482092
수정구,신촌동,3,활력 정체형,0,0,0.0991,9.91,9.91,0~30점,관찰,부동산 거래량 증가율,신규기업 증가율,버스 승하차 증가율,-0.3036,0.6,-0.0254,0.2602,0.0278,0.0197,0.0517953229141249,-0.3035714285714285,0.0070493454179254,4.086214965546992,0.313007947252284,-0.0254110982706073,0.6,12.673877155359351,0.7165987350797356,1.2231464617750702
분당구,이매1동,3,활력 정체형,0,0,0.0893,8.93,8.93,0~30점,관찰,최근 프랜차이즈 비율,최근 외부유입 규모,신규기업 증가율,6.5799,13.8018,0.35,0.3519,0.1095,0.0399,0.0519339975842112,0.3157894736842105,-0.0002376425855513,6.579874832044975,-0.163023021951167,0.2031427550449893,0.35,13.80175840408176,0.8260690975316085,0.9382194416926768
분당구,금곡동,0,종합 성장형,0,0,0.0788,7.88,7.88,0~30점,관찰,최근 외부유입 규모,공시지가 상승률,상권 활력 균형,14.43,0.0732,0.0016,0.2273,0.1346,0.0466,0.0731631995202392,-0.1875,0.0016317911307352,5.337196971688839,-0.0249385637816512,0.8011770491516466,-0.2105263157894736,14.430001389515423,0.9454559643652336,1.0856836911859398
