행정동,period,kmeans_land_feature,kmeans_transaction_feature
고등동,2024,-0.11086645582535408,-0.9407900961311076
고등동,2025,-1.6400929067468124,-0.19260830147921487
구미1동,2024,-0.23494058693163344,2.197406867076484
구미1동,2025,0.8417893381183643,-0.36710296713262863
구미동,2024,-0.41338215385168803,-0.3854318414983284
구미동,2025,0.5337379107245976,-0.674035591988431
금곡동,2024,0.45554678167020185,-0.41240090416659736
금곡동,2025,1.1188911184037578,-0.5489369279766929
금광1동,2024,-2.060813200119606,0.7338102839713514
금광1동,2025,-0.08626368739160592,-0.7838313042818431
금광2동,2024,-2.060813200119606,0.7338102839713514
금광2동,2025,-0.08626368739160592,-0.7838313042818431
단대동,2025,0.8952837602955788,0.961192124720088
도촌동,2024,-1.7100405715412668,0.20824162421541112
도촌동,2025,0.5670672586850507,-0.9250885367955171
백현동,2024,0.9848806599814328,0.041270163290914125
백현동,2025,1.8929203589133246,0.8853981778038424
복정동,2024,0.7970161611144175,-0.5920007567020504
복정동,2025,0.23915483276671717,2.380054810992203
분당동,2024,-0.7045181615037688,-0.1984552630984681
분당동,2025,0.6249028671690389,6.554785407139004
산성동,2024,-0.9002652903658526,0.10249129083368312
산성동,2025,2.2125238674309307,-1.2067903714369559
삼평동,2024,0.08352542014794714,-0.015353043969222432
삼평동,2025,1.842689732142101,-0.7319905108553247
상대원1동,2024,-1.5484285791409529,1.2140850988211216
상대원1동,2025,-0.16908690875037594,-0.5104529691750129
상대원2동,2024,-1.5484285791409529,1.2140850988211216
상대원2동,2025,-0.16908690875037594,-0.5104529691750129
상대원3동,2024,-1.5484285791409529,1.2140850988211216
상대원3동,2025,-0.16908690875037594,-0.5104529691750129
서현1동,2024,0.6715346452320634,-0.9307751254107209
서현1동,2025,0.6429219612436496,0.22510951466836426
서현2동,2024,0.915037153453702,-0.7602951205121641
서현2동,2025,0.47490623913557745,0.336258807565496
성남동,2024,-1.7431426465918494,-0.7156455954196851
성남동,2025,0.2846551504207609,-0.17437953878389598
수내1동,2024,0.22227294596227845,-0.5519306700805948
수내1동,2025,0.32678871908805035,-0.2616168855286726
수내2동,2024,0.22227294596227845,-0.5519306700805948
수내2동,2025,0.32678871908805035,-0.2616168855286726
수내3동,2024,0.22227294596227845,-0.5519306700805948
수내3동,2025,0.32678871908805035,-0.2616168855286726
수진1동,2024,-1.1950081706044668,-0.08826252488946498
수진1동,2025,1.1642582190093818,0.36999933877337304
수진2동,2024,-1.1950081706044668,-0.08826252488946498
수진2동,2025,1.1642582190093818,0.36999933877337304
시흥동,2024,1.214522429020611,3.6294581885799975
시흥동,2025,1.3721076767770983,-0.7389616884519921
신촌동,2024,-0.36048569418363025,-0.9147080614569879
신촌동,2025,-0.02944988332897133,0.2985364745380559
신흥1동,2024,-1.5767380886225792,-0.021097427314453656
신흥1동,2025,1.3901310556068476,-0.17985129430993496
신흥2동,2024,-1.5767380886225792,-0.021097427314453656
신흥2동,2025,1.3901310556068476,-0.17985129430993496
신흥3동,2024,-1.5767380886225792,-0.021097427314453656
신흥3동,2025,1.3901310556068476,-0.17985129430993496
야탑1동,2024,0.2796409377131708,0.9812552283155647
야탑1동,2025,0.08304835719555992,-1.0203847038377531
야탑2동,2024,0.2796409377131708,0.9812552283155647
야탑2동,2025,0.08304835719555992,-1.0203847038377531
야탑3동,2024,0.2796409377131708,0.9812552283155647
야탑3동,2025,0.08304835719555992,-1.0203847038377531
양지동,2024,-1.157855482564614,-1.0170298897939194
양지동,2025,0.7184621073654607,0.41547570692312036
운중동,2024,0.25659362584665163,0.03132007071078142
운중동,2025,0.4317293004576253,-0.34446176886291463
위례동,2024,0.7668807440913404,-0.3785906974161797
위례동,2025,0.6885127289723704,0.05377994163908376
은행1동,2024,-1.7365198066052379,-0.26666981532308903
은행1동,2025,0.22324287999189102,0.41547570692312036
은행2동,2024,-1.7365198066052379,-0.26666981532308903
은행2동,2025,0.22324287999189102,0.41547570692312036
이매1동,2024,-0.9863591506655213,-0.04407496069537862
이매1동,2025,0.6155522361927575,-0.47297724156340604
이매2동,2024,0.18786837250785712,-0.05869364313675714
이매2동,2025,1.0101048790841771,-0.5363686133816955
정자1동,2024,0.1902303507058751,-0.07426979622800432
정자1동,2025,-0.007134785404823048,-0.5827860329493811
정자2동,2024,0.1902303507058751,-0.07426979622800432
정자2동,2025,-0.007134785404823048,-0.5827860329493811
정자3동,2024,0.1902303507058751,-0.07426979622800432
정자3동,2025,-0.007134785404823048,-0.5827860329493811
정자동,2024,0.1902303507058751,-0.07426979622800432
정자동,2025,-0.007134785404823048,-0.5827860329493811
중앙동,2024,-1.8854424519106887,0.6673448228294131
중앙동,2025,1.739855516682166,-0.5668138451114212
태평1동,2024,-1.182660590810759,-0.19185385481866607
태평1동,2025,0.3437217626556222,-0.2561752688269935
태평2동,2024,-1.182660590810759,-0.19185385481866607
태평2동,2025,0.3437217626556222,-0.2561752688269935
태평3동,2024,-1.182660590810759,-0.19185385481866607
태평3동,2025,0.3437217626556222,-0.2561752688269935
태평4동,2024,-1.182660590810759,-0.19185385481866607
태평4동,2025,0.3437217626556222,-0.2561752688269935
판교동,2024,0.763261931434889,1.0056109029128644
판교동,2025,1.450858139639662,-0.45207347008744325
하대원동,2024,-1.8277075025074319,0.41547570692312036
하대원동,2025,0.3062772855720165,-0.40309891977233087
