행정동,period,avg_land_price,land_price_growth_rate,transaction_count,transaction_growth_rate,transaction_log_growth,transaction_new_activity_flag,z_land_price_growth,z_transaction_growth,z_transaction_log_growth,real_estate_pressure_index,real_estate_pressure_index_100,real_estate_pressure_level,kmeans_land_feature,kmeans_transaction_feature,real_estate_cluster,real_estate_cluster_name
고등동,2023,2973713.3928571427,,102.0,,,0.0,,,,,,,,,,
고등동,2024,3052398.245614035,2.6460133295257466,35.0,-65.68627450980392,-1.051210049773526,0.0,-0.11086645582535408,-0.9407900961311076,-1.6723565388569315,-0.5258282759782309,14.599108974043357,하,-0.11086645582535408,-0.9407900961311076,0,상승-거래정체형
고등동,2025,3083883.9285714286,1.0315063901846717,44.0,25.71428571428571,0.2231435513142097,0.0,-1.6400929067468124,-0.19260830147921487,0.11326745506209095,-0.9163506041130136,6.495705340210517,하,-1.6400929067468124,-0.19260830147921487,1,하락-거래위축형
구미1동,2023,4982715.116279069,,73.5,,,0.0,,,,,,,,,,
구미1동,2024,5108031.395348838,2.515019946862834,307.0,317.687074829932,1.4193006575880602,0.0,-0.23494058693163344,2.197406867076484,1.7893225371336827,0.9812331400724252,45.87088545238919,상,-0.23494058693163344,2.197406867076484,2,상승-거래정체형
구미1동,2025,5294566.279069767,3.651795951974389,320.5,4.397394136807818,0.042897760704099674,0.0,0.8417893381183643,-0.36710296713262863,-0.1392929082794475,0.23734318549286784,30.435044459883258,중상,0.8417893381183643,-0.36710296713262863,0,상승-거래정체형
구미동,2023,6149518.181818182,,69.5,,,0.0,,,,,,,,,,
구미동,2024,6292594.545454546,2.326627215435957,71.0,2.158273381294964,0.021053409197832273,0.0,-0.41338215385168803,-0.3854318414983284,-0.16990120894882096,-0.3994069976750082,17.22237164608847,중하,-0.41338215385168803,-0.3854318414983284,0,상승-거래정체형
구미동,2025,6501921.818181818,3.3265653970742477,47.5,-33.098591549295776,-0.3951023210726179,0.0,0.5337379107245976,-0.674035591988431,-0.7530185294033095,-0.07014884063191668,24.0545334817396,중하,0.5337379107245976,-0.674035591988431,0,상승-거래정체형
금곡동,2023,3967212.8834355827,,176.0,,,0.0,,,,,,,,,,
금곡동,2024,4095909.8159509203,3.244013777347053,174.0,-1.1363636363636365,-0.01136375865031436,0.0,0.45554678167020185,-0.41240090416659736,-0.21532413762037866,0.021572938751802245,25.95777574680957,중하,0.45554678167020185,-0.41240090416659736,0,상승-거래정체형
금곡동,2025,4257466.871165644,3.9443508884293244,143.0,-17.81609195402299,-0.19497267434751375,0.0,1.1188911184037578,-0.5489369279766929,-0.47259691111631374,0.2849770952135324,31.423456054599754,중상,1.1188911184037578,-0.5489369279766929,0,상승-거래정체형
금광1동,2023,5040702.950819672,,9.0,,,0.0,,,,,,,,,,
금광1동,2024,5070308.196721312,0.5873237560413166,21.5,138.88888888888889,0.8109302162163283,0.0,-2.060813200119606,0.7338102839713514,0.9368740044993875,-0.6635014580741272,11.742367416126143,하,-2.060813200119606,0.7338102839713514,1,하락-거래위축형
금광1동,2025,5205786.229508197,2.6719881224279707,11.5,-46.51162790697674,-0.5877866649021186,0.0,-0.08626368739160592,-0.7838313042818431,-1.023007790861685,-0.43504749583672453,16.48282534743077,중하,-0.08626368739160592,-0.7838313042818431,0,상승-거래정체형
금광2동,2023,5040702.950819672,,9.0,,,0.0,,,,,,,,,,
금광2동,2024,5070308.196721312,0.5873237560413166,21.5,138.88888888888889,0.8109302162163283,0.0,-2.060813200119606,0.7338102839713514,0.9368740044993875,-0.6635014580741272,11.742367416126143,하,-2.060813200119606,0.7338102839713514,1,하락-거래위축형
금광2동,2025,5205786.229508197,2.6719881224279707,11.5,-46.51162790697674,-0.5877866649021186,0.0,-0.08626368739160592,-0.7838313042818431,-1.023007790861685,-0.43504749583672453,16.48282534743077,중하,-0.08626368739160592,-0.7838313042818431,0,상승-거래정체형
단대동,2023,4729877.868852459,,,,,,,,,,,,,,,
단대동,2024,4814909.016393443,1.797745098260087,3.0,,,0.0,-0.9143279864752183,,,,,,-0.9143279864752183,,,
단대동,2025,4993459.016393443,3.7082736016835685,8.0,166.66666666666669,0.810930216216329,0.0,0.8952837602955788,0.961192124720088,0.9368740044993885,0.9282379425078333,44.7712262380961,상,0.8952837602955788,0.961192124720088,2,상승-거래정체형
도촌동,2023,3533163.01369863,,79.0,,,0.0,,,,,,,,,,
도촌동,2024,3566998.6301369863,0.9576579486191327,138.0,74.68354430379746,0.5524472984568103,0.0,-1.7100405715412668,0.20824162421541112,0.5746877952905541,-0.7508994736629279,9.928843973062897,하,-1.7100405715412668,0.20824162421541112,1,하락-거래위축형
